appId,reviews,IsFraud
com.paypal.android.p2pmobile,"They did something to mess it up. I suspect they're trying to push PayPal users into new credit cards or debit systems to generate more revenue for PayPal, but actions that used to be simple and straightforward are now unnecessarily complicated. For example transferring my PayPal balance to my bank account used to be very straightforward, but now the setting is buried. I clicked on the wrong thing multiple times before I finally scrolled way down and found what I was looking for. When the app works, it's great. But if there's issues, it's nearly impossible to get a hold of an actual person or to get any answers as far as what the issue actually is. Its very nice on a perfect day but incredibly aggravating if even the smallest thing goes wrong (such as, if you have direct deposit set up and you get paid on the same day and the same time for months but then it doesn't show up in your account one day and the money has already been sent, but no one can help find the $$). I gave the app 2 stars because it's literally impossible to pay your Paypal Credit bills on the app. Every time I try linking my bank account, it says it was successful and that I can close the window but it doesn't save my linked bank to my Paypal account. I've probably tried this over 10 times already and it's frustrating. I have to keep calling to make payments now. Don't add a screen that exits out of Paypal Credit and removes all of the progress made to link your bank account. My most secured way of paying, however, won't stay consistent with preferred way to pay, keeps using wrong card unless I remove all other cards. Very selectively will allow choice, but doesn't do so for all purchases. Gonna cost me greatly, thanks to a recent blunder (small payment, but due to an issue I'm unable to talk about, major cost for this year). I don't have time to fight with any CS. Sorry for spelling mistakes, I need to get going, rushed.",genuine
com.Balooshy,"""Fantastic app! Easy to use, great deals, and a huge variety of food options. Saved me so much money on my favorite meals. Highly recommend! ⭐⭐⭐⭐⭐""",fraud
com.dbs.in.digitalbank,"""Digibank is a game-changer! The app is incredibly intuitive and user-friendly, making it easy to manage my finances on-the-go. The zero-fee accounts and high-interest rates are a huge plus. I also love the bill pay and fund transfer features - so convenient! The customer support Very good service.as customer pont of view really it's service in easy way customer should be about it.focus on customer is basic concept of it. It ise really good for customer care . If u have any issue about it resolved it shortly with perfect solution & comunication.ther is no any doubt or risch about customer satisfaction.its really good to easy way.£ well .ther is surely perfect & right.any banking related issues for customer really solved correctly by respective banking team aswellas cust Hey DBS developers, I have a query. When I tried to open a DBS account, especially while creating a username and password, it says 'Bad Request.' That's why I am not able to create a DBS account. Please add an option to freeze/lock funds so that it stays in the savings account and i am not able to touch it. And spend it by mistake. For eg if i freeze 10k or 20k rs so that i never touch the minimum account balance etc",genuine
com.loanemicalculator.emicalculatorapp.emiloancalculator.loanemi.calculatorapp,Super loan app Good lone super,fraud
com.personal.loan.loanhero,I love this app nice why are showing add video it is a rubbish app oo abeg make una no download am ooo,fraud
com.clairmail.fth,"I love everything about this app. Paying my bills, transferring funds to my access 360 card and checking my balance. I even activated my new card with it. I pretty much do all my banking with this app. Now it has fingerprint log in and that's a great feature. I took away a star because they took away access to the 360 card. Now you have to log into your browser just to transfer funds to your 360 card 😒😠 No pop ups that I have seen. App is good so far with many options and features, but external transfers are somewhat slow. Can't tell any difference in Transfer times between Quick Transfer method and Traditional.. 5/3 Bank changed their colors from red and black to blue hues...think I prefer red/black. This Bank still uses The JEANIE Machine. Wow! Haven't seen that in YEARS! Can choose how you want cash back, including $1 bills. Very cool indeed. A Free Checking Acct is a FCA...no fees. App is unintuitive, ugly. Managing mortgage accounts is barely supported. Can't set up recurring payments, and scheduled payments are difficult to create and verify, requiring navigating too many separate screens and sub menus. Apparently it's better if you have a checking account through this bank, but why would I want that when the app handles my mortgage account so poorly? 3 stars only because it doesn't crash and is technically usable. Have trouble logging in, gives the something has gone wrong. I have to restart phone and then can log in. Also cache won't clear. Why? Old review: 5/3 app is great! I tried using my tablet for deposits and it could not take a picture. Downloaded app to my phone and it worked great! Just takes a few minutes to find your way around the app. and then good to go!",genuine
com.banking.loan.financial.stock.mutual.sip.othercalculator,"Experience grows day after day. 5yrs.experiecne earned about my business. To grow heavy experience, you know Business Funds need. nice platform in parsonal loan business aage badhane ke liye usko lambe star Tak ham pahuncha na chahte bahut good application 👍",fraud
com.swarvit.emiloancalculator.cashcounteremi.mortgagecalculator.loanprimeemiloancalculator,thanks you to app ready to grow with you naipeda sana,fraud
com.fss.indus,"have encountered a challenge during the transition. Upon attempting to log in to the IndieApp, I noticed that the app currently only offers the option to open a new account, with no visible option for existing users to log in. This has created some confusion and inconvenience for users who are accustomed to the IndusMobile app. I kindly request that you consider adding a clear login option for existing customers in the IndieApp to facilitate a smoother transition. Hello recently on my other device M01 after the upgrade option came... app is not able to open... also it shows not supported... but previous version of that was working fine... so developer please make the upgrade optional for this kind of device as customer are not going to change phone for the update... make it working like previous. Not allowing the app to even run because developer options is enabled is pure stupidity! Most banking apps show a warning to the user and allow to proceed, but no, IndusInd has to be different and non-user friendly. Some of us need developer options enabled on our phones and we know what we are doing with it. EDIT: Unable to use the app at all and no response or resolution from the development team since a week! This is the level of customer service one can expect from IndusInd We're in 23', & this thing looks & functions like it's stuck in the Stone Age. Seriously, we need some major improvements on the UI. And come on, give us more payment options! We're not just about net banking. We want to pay with UPI, and even simple debit cards. It's ridiculous that I have to register my credit card every single day. And what's up with that annoying ""New Device Registration"" popup? I'm only using it on one device. Fix this mess so I can finally see my account details.",genuine
com.byte9962.enigma,Great,fraud
